word	homonym	type	gradation	type_note	grad_note
alakoulu					
alakoululainen					
alakulo		1			
alakuloinen		38			
alakuloisesti		99			
alakuloisuus		40			
alakulttuuri					
alakunto					
alakuntoinen					
alakuntoisuus					
alakuu					
alakynnessä		99			
alakynteen		99			
alalaji					
alalanka					
alaleuka					
alaleukaluu					
alaliittymä					
alallaan		99			
alalleen		99			
alaluokka					
alaluokkalainen					
alaluomi					
alamaa					
alamaailma					
alamaihin					
alamainen		38			
alamaisesti		99			
alamaissa					
alamaisuus		40			
alamitta					
alamittainen					
alamäki					
alanko		1	G		
alankomaalainen					
alanne		48	J		
alanumero					
alanurkka					
alanurkkalaukaus					
alaoksa					
alaosa					
alaosasto					
alaotsikko					
alapesu					
alapeti					
alapinta					
alapohja					
alapuhelin					
alapuoli					
alapuolinen					
alapuolisko					
alapää					
alaraaja					
alaraja		9			
alareuna					
alarivi					
alaruumis					
alaryhmä					
alas		99			
alasajo					
alaselkä					
alasin		33			
alaslaskettava		10			
alaspäin					
alaspäinen					
alaspäinmeno					
alassuin		99			
alasti		99			
alastomuus		40			
alastomuuskulttuuri					
alaston		34			
alastonkuva					
alastonmalli					
alastontutkielma					
alastulo					
alastulorinne					
alateitse					
alati		99			
alatiesynnytys					
alatusten		99			
alatuuleen		99			
alatuulessa		99			
alatyyli					
alatyylinen					
alava		10			
alavatsa					
alaviistoon					
alaviistossa					
alaviite					
alavireinen					
alavireisyys					
alavirta					
alavuus		40			
alayksikkö					
alaääni					
alba		9			
albaani		6			
albania		12			
albanialainen		38			
albanian kieli					
albatrossi		5			
albiino		2			
albinismi		5			
albumi		6			
ale	1	8			
ale	2	8			
alehalli		5			
alehinta					
alekkain		99			
aleksityymikko		4	A		
aleksityyminen		38			
alemma		99			
alemmaksi		99			
alemmas		99			
alemmuudentunne					
alemmuus		40			
alemmuuskompleksi					
alempaa		99			
alempana		99			
alempi		16	H		
alempiarvoinen					
alenema		10			
aleneva		10			
alennus		39			
alennushalli		5			
alennushinta					
alennuskuponki					
alennuslippu					
alennusmerkki					
alennusmyynti					
alennustavaratalo					
alennustila					
alennusvaihde					
alentaa		54	J		
alentava		10			
alentua		52	J		
alentuva		10			
alentuvainen		38			
alentuvaisesti		99			
alentuvaisuus		40			
alentuvasti		99			
alentuvuus		40			
aleta		72			
aletusten		99			
alfa		9			
alfahiukkanen					
alfalfa		9			
alfanumeerinen					
alfasäteet					
alfasäteily					
algebra		11			
algebrallinen		38			
algoritmi		5			
alhaalla		99			
alhaalle		99			
alhaalta		99			
alhainen		38			
alhaisaateli					
alhaisesti		99			
alhaiso		2			
alhaissukuinen					
alhaissäätyinen					
alhaisuus		40			
alho		1			
ali		99			
ali-					
aliarvioida					
aliarviointi					
aliarvostaa					
aliarvostus					
alias		99			
alibi		5			
aliedustettu		1	C		
aliedustus					
alihallinto					
alihankinta					
alihankkija					
alihinta					
alijohtaja					
alijäähtyä					
alijäämä					
alijäämäinen		38			
alikaliiperiammus					
alikasvos		39			
alikehittynyt					
alikersantti					
alikriittinen					
alikulku					
alikulkutunneli					
alikäytävä					
aliluutnantti					
alimitoittaa					
alimma		99			
alimmainen		38			
alimmaksi		99			
alimmas		99			
alimpana		99			
alin		36			
alinen		38			
alinomaa		99			
alinomainen		38			
aliohjautuva		10			
aliohjautuvuus					
alioikeus					
alipaine					
alipaineinen					
alipaino					
alipainoinen					
alipainoisuus					
alipalkattu		1	C		
alipalkkainen					
alipalkkaisuus					
alipalkkaus					
aliperämies					
alipäällikkö					
alipäällystö					
alipääsihteeri					
aliravitsemus					
aliravittu		1	C		
alistaa		53			
alisteinen		38			
alisteisuus		40			
alistua		52			
alistus		39			
alistuskonjunktio					
alistussuhde					
alistuva		10			
alistuvainen		38			
alistuvaisuus		40			
alistuvuus		40			
alitajuinen					
alitajunta					
alitehoinen					
alitse		99			
alittaa		53	C		
alittua		52	C		
alituinen		38			
alituiseen		99			
alituisesti		99			
alituotanto					
alitus		39			
alitusten		99			
alityöllisyys					
aliupseeri					
aliupseerikoulu					
aliupseerinarvo					
aliupseeristo					
aliurakka					
aliurakoida					
aliurakointi					
aliurakoitsija					
alivakuuttaa					
alivakuutus					
alivalottaa					
alivalottua					
alivalotus					
alivaltiosihteeri					
alivoima					
alivoimainen					
alivoimaisuus					
alivoimapeli					
alivuokralainen					
alivuokrasuhde					
alkaa		56	D		
alkaen		99			
alkaja		10			
alkajaiset		38			
alkajaisjuhla					
alkali		6			
alkalimetalli					
alkalinen		38			
alkaliparisto					
alkalisuola					
alkalisuus		40			
alkaloidi		5			
alkamisaika		9	D		
alkamispäivä					
alkeellinen		38			
alkeellisesti		99			
alkeellisuus		40			
alkeet		48			
alkeis-					
alkeishiukkanen					
alkeisjuuri		26			
alkeiskirja					
alkeiskurssi					
alkeislehti					
alkeisopetus					
alkeisopinnot					
alkeisrihma					
alkeissilmu					
alkeistiedot					
alkeistumallinen					
alkeisvaraus					
alkeisvarsi					
alkemia		12			
alkemisti		5			
alkio		3			
alkiokalvo					
alkiolainen		38			
alkiolaisuus		40			
alkionsiirto					
alkoholi		5			
alkoholihumala					
alkoholijuoma					
alkoholikassa					
alkoholikäyminen					
alkoholilainsäädäntö					
alkoholimyrkytys					
alkoholimyymälä					
alkoholinkäyttö					
alkoholiongelma					
alkoholiongelmainen					
alkoholipitoinen					
alkoholipitoisuus					
alkoholipolitiikka					
alkoholiprosentti					
alkoholiriippuvuus					
alkoholismi		5			
alkoholisoitua		52	F		
alkoholisti		5			
alkoholistihuolto					
alkoholiton		34	C		
alkometri		5			
alkovi		5			
alku		1	D		
alkuaan		99			
alkuaika		9	D		
alkuaine					
alkuaste					
alkuasukas					
alkuasukasheimo					
alkucocktail					
alkudrinkki					
alkueliö					
alkueläin					
alkuerä					
alkuhärkä					
alkuihminen					
alkuilta					
-alkuinen		38			
alkuisin		99			
alkujaan		99			
alkujakso					
alkujuoma					
alkujuuri		26			
alkukankeus					
alkukantainen					
alkukantaisesti		99			
alkukantaisuus					
alkukarsinta					
alkukehto					
alkukesä					
alkukevät					
alkukieli					
alkukielinen					
alkukilpailu					
alkukirjain					
alkukirkko					
alkukohta		10	F		
alkukoktaili					
alkukoti					
alkukoulutus					
alkukristillinen					
alkukristillisyys					
alkukuu					
alkukuukausi					
alkukuva					
alkukymmen					
alkulause					
alkulima					
alkuliturgia					
alkuluku					
alkulähde					
alkumatka					
alkumerkki					
alkuminuutti					
alkumuoto					
alkuopetus					
alkuopinnot					
alkuosa					
alkupala					
alkupalkka					
alkuperusta					
alkuperuste					
alkuperä					
alkuperäinen					
alkuperäisesti		99			
alkuperäiskansa					
alkuperäiskappale					
alkuperäispakkaus					
alkuperäisteos					
alkuperäisyys					
alkuperämaa					
alkuperämerkintä					
alkuperätodistus					
alkupiste					
alkupotku		1			
alkupuoli					
alkupuolisko					
alkupäivä					
alkupää					
alkupääoma					
alkuruoka					
alkuräjähdys					
alkusanat					
alkuseurakunta					
alkusivu					
alkusoinnullinen					
alkusointu					
